title,genres,where_to_watch
Missing Noir M,"Thriller, Mystery, Drama",
Oh My Venus,"Comedy, Law, Romance, Life","Apple TV, Netflix, WeTV, Viki, iflix, VIU Indonesia, Kocowa"
Watcher,"Thriller, Mystery, Drama, Political","Apple TV, Disney+ Hotstar, Viki"
The Story of Park's Marriage Contract,"Historical, Mystery, Romance, Fantasy","Wavve, Viki, VIU Indonesia"
Touch Your Heart,"Comedy, Law, Romance, Drama","Apple TV, Netflix, WeTV, Viki, iQIYI, iWant TFC, VIU Indonesia"
The Smile Has Left Your Eyes,"Thriller, Mystery, Romance, Drama","Apple TV, iQIYI, Viki"
Bulgasal: Immortal Souls,"Thriller, Mystery, Drama, Fantasy","Netflix, TVING"
Angry Mom,"Comedy, Drama, Melodrama","Apple TV, Netflix, Viki, Kocowa"
Love in the Moonlight,"Historical, Comedy, Romance, Drama","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Kocowa"
Tell Me What You Saw,"Thriller, Mystery","Viki, Tubi"
Oh My Geum Bi,"Comedy, Drama, Melodrama",
Thirty-Nine,"Romance, Life, Drama","Netflix, TVING"
Live Up to Your Name,"Historical, Romance, Medical, Fantasy",Netflix
Love Playlist Season 4,"Romance, Life, Youth, Drama","WeTV, PlayList Global"
Are You Human Too?,"Comedy, Romance, Sci-Fi, Fantasy","Viki, iQIYI, Kocowa"
May I Help You,"Mystery, Romance, Drama, Supernatural","Apple TV, Prime Video"
Song of the Bandits,"Action, Thriller, Historical, Drama",Netflix
Misty,"Thriller, Mystery, Romance, Melodrama","Disney+ Hotstar, Netflix, Viki, iQIYI, Tubi, Kocowa"
Queen for Seven Days,"Historical, Romance, Melodrama, Political","Apple TV, Netflix, Kocowa"
Mine,"Thriller, Mystery, Drama","Netflix, TVING"
Queenmaker,"Business, Drama, Political",Netflix
Welcome 2 Life,"Comedy, Law, Romance, Fantasy","Apple TV, Viki, VIU Indonesia, Kocowa"
Salon De Nabi,"Life, Drama",Prime Video
Rookie Historian Goo Hae Ryung,"Historical, Comedy, Romance, Drama",Netflix
Crazy Love,"Comedy, Romance, Drama","Disney+, Disney+ Hotstar, Hulu"
Agency,"Business, Life, Drama","Netflix, Viki, Tubi"
A Korean Odyssey,"Horror, Comedy, Romance, Fantasy","Apple TV, Netflix, Viki, Tubi"
Bad Prosecutor,"Action, Mystery, Comedy, Law","VIU Indonesia, Viki, Wavve, Kocowa"
Remember: War of the Son,"Thriller, Mystery, Law, Romance","Netflix, Viki, SBS World, Kocowa"
The Sound of Magic,"Music, Psychological, Drama, Fantasy","Apple TV, Netflix"
Who Are You: School 2015,"Mystery, Romance, Youth, Drama","Apple TV, Netflix, Viki, iQIYI, KBS World, Kocowa"
May It Please the Court,"Mystery, Law, Drama","Disney+ Hotstar, Disney+, Hulu"
The Good Detective Season 2,"Action, Thriller, Mystery, Drama","Viki, Netflix"
XX,"Business, Romance, Life, Drama","PlayList Global, Viki, Kocowa"
Find Me in Your Memory,"Romance, Drama, Melodrama","Apple TV, Netflix, Viki, Kocowa"
Pegasus Market,"Business, Comedy, Drama","Apple TV, TVING"
When the Weather Is Fine,"Romance, Life, Drama, Melodrama","Apple TV, Disney+ Hotstar, WeTV, Viki, iQIYI, Hulu, iflix, VIU Indonesia, Netflix"
The K2,"Action, Thriller, Psychological, Romance","Apple TV, WeTV, Viki, iQIYI, VIU Indonesia, Tubi, Prime Video"
Semantic Error,"Comedy, Romance, Life, Youth","Apple TV, Viki"
Diary of a Prosecutor,"Mystery, Law, Life, Drama","Disney+ Hotstar, Hulu, iflix, Netflix"
Chief of Staff Season 2,"Drama, Political",Netflix
Something about 1 Percent,"Comedy, Romance, Drama","Netflix, Viki"
Blue Birthday,"Thriller, Romance, Drama, Fantasy",WeTV
A Beautiful Mind,"Mystery, Psychological, Romance, Medical","Viki, KBS World, Kocowa"
Lovers of the Red Sky,"Historical, Romance, Drama, Fantasy",Viki
"Fanletter, Please","Comedy, Romance","Viki, Kocowa"
Like Flowers in Sand,"Mystery, Comedy, Romance, Life",Netflix
Bloody Heart,"Historical, Drama, Political","Disney+, Disney+ Hotstar"
Kill It,"Action, Thriller, Mystery, Drama","WeTV, Viki, iQIYI, VIU Indonesia, Tubi"
Hyena,"Mystery, Comedy, Law, Romance",Netflix
Queen of Mystery,"Action, Mystery, Comedy, Drama","Apple TV, Viki, KBS World, Kocowa"
