title,genres,where_to_watch
Remarriage and Desires,"Mystery, Drama, Melodrama",Netflix
To My Star,"Comedy, Romance, Youth",Apple TV
Korea-Khitan War,"Action, Military, Historical, War",Apple TV
Island,"Action, Thriller, Horror, Fantasy",Prime Video
"Link: Eat, Love, Kill","Mystery, Romance, Drama, Fantasy",Apple TV
Black,"Thriller, Mystery, Supernatural",Apple TV
Persona: Sulli,"Drama, Documentary",Netflix
Love Revolution,"Comedy, Romance, Youth, Drama",Viki
Hwarang,"Action, Historical, Comedy, Romance",Apple TV
Witch's Court,"Mystery, Law, Drama",Apple TV
The Package,"Adventure, Comedy, Romance, Life",Disney+ Hotstar
Secret Royal Inspector,"Historical, Mystery, Comedy, Romance",iQIYI
My Strange Hero,"Mystery, Comedy, Romance, Youth",Apple TV
The Law Cafe,"Comedy, Law, Romance",Apple TV
Be My Dream Family,"Comedy, Romance, Drama, Family",KBS World
Mistress,"Thriller, Mystery, Romance, Drama",Apple TV
The Eighth Sense,"Romance, Drama, Melodrama",Viki
Would You Like a Cup of Coffee?,"Life, Drama",WeTV
Do You Like Brahms?,"Music, Romance, Drama, Melodrama",Netflix
The Witch's Diner,"Psychological, Life, Fantasy, Supernatural",Apple TV
The Killer's Shopping List,"Thriller, Mystery, Comedy",Viki
Your Honor,"Comedy, Law, Romance, Drama",Apple TV
Insider,"Action, Thriller, Law",Viki
Love Playlist Season 3,"Comedy, Romance, Life, Youth",WeTV
The Good Wife,"Law, Romance, Drama, Political",
Hit the Top,"Comedy, Romance, Life, Drama",Apple TV
Save Me Season 2,"Thriller, Mystery, Psychological",Prime Video
You Are My Spring,"Thriller, Mystery, Comedy, Romance",Netflix
Twenty Again,"Comedy, Romance, Life, Drama",Apple TV
Blueming,"Romance, Youth, Drama",iQIYI
A-Teen,"Comedy, Romance, Life, Youth",Netflix
Anna: Extended Version,"Thriller, Life, Drama",Prime Video
The Killing Vote,"Thriller, Mystery, Horror",Prime Video
